crim,rm,age,dis,tax,ptratio,lstat,medv
1.00245,6.6740,87.30,4.2390,307.0,21.00,11.98,21.00
1.13081,5.7130,94.10,4.2330,307.0,21.00,22.60,12.70
1.35472,6.0720,100.00,4.1750,307.0,21.00,13.04,14.50
1.38799,5.9500,82.00,3.9900,307.0,21.00,27.71,13.20
1.15172,5.7010,95.00,3.7872,307.0,21.00,18.35,13.10
1.61282,6.0960,96.90,3.7598,307.0,21.00,20.34,13.50
0.06417,5.9330,68.20,3.3603,279.0,19.20,9.68,18.90
0.09744,5.8410,61.40,3.3779,279.0,19.20,11.41,20.00
0.08014,5.8500,41.50,3.9342,279.0,19.20,8.77,21.00
0.17505,5.9660,30.20,3.8473,279.0,19.20,10.13,24.70
0.02763,6.5950,21.80,5.4011,252.0,18.30,4.32,30.80
0.03359,7.0240,15.80,5.4011,252.0,18.30,1.98,34.90
0.12744,6.7700,2.90,5.7209,233.0,17.90,4.84,26.60
0.14150,6.1690,6.60,5.7209,233.0,17.90,5.81,25.30
0.15936,6.2110,6.50,5.7209,233.0,17.90,7.44,24.70
0.12269,6.0690,40.00,5.7209,233.0,17.90,9.55,21.20
0.17142,5.6820,33.80,5.1004,233.0,17.90,10.21,19.30
0.18836,5.7860,33.30,5.1004,233.0,17.90,14.15,20.00
0.22927,6.0300,85.50,5.6894,233.0,17.90,18.80,16.60
0.25387,5.3990,95.30,5.8700,233.0,17.90,30.81,14.40
0.21977,5.6020,62.00,6.0877,233.0,17.90,16.20,19.40
0.08873,5.9630,45.70,6.8147,243.0,16.80,13.45,19.70
0.04337,6.1150,63.00,6.8147,243.0,16.80,9.43,20.50
0.05360,6.5110,21.10,6.8147,243.0,16.80,5.28,25.00
0.04981,5.9980,21.40,6.8147,243.0,16.80,8.43,23.40
0.01360,5.8880,47.60,7.3197,469.0,21.10,14.80,18.90
0.01311,7.2490,21.90,8.6966,226.0,17.90,4.81,35.40
0.02055,6.3830,35.70,9.1876,313.0,17.30,5.77,24.70
0.01432,6.8160,40.50,8.3248,256.0,15.10,3.95,31.60
0.15445,6.1450,29.20,7.8148,284.0,19.70,6.86,23.30
0.10328,5.9270,47.20,6.9320,284.0,19.70,9.22,19.60
0.14932,5.7410,66.20,7.2254,284.0,19.70,13.15,18.70
0.17171,5.9660,93.40,6.8185,284.0,19.70,14.44,16.00
0.11027,6.4560,67.80,7.2255,284.0,19.70,6.73,22.20
0.12650,6.7620,43.40,7.9809,284.0,19.70,9.50,25.00
0.01951,7.1040,59.50,9.2229,216.0,18.60,8.05,33.00
0.03584,6.2900,17.80,6.6115,337.0,16.10,4.67,23.50
0.04379,5.7870,31.10,6.6115,337.0,16.10,10.24,19.40
0.05789,5.8780,21.40,6.4980,345.0,18.90,8.10,22.00
0.13554,5.5940,36.80,6.4980,345.0,18.90,13.09,17.40
0.12816,5.8850,33.00,6.4980,345.0,18.90,8.79,20.90
0.08826,6.4170,6.60,5.2873,305.0,19.20,6.72,24.20
0.15876,5.9610,17.50,5.2873,305.0,19.20,9.88,21.70
0.09164,6.0650,7.80,5.2873,305.0,19.20,5.52,22.80
0.19539,6.2450,6.20,5.2873,305.0,19.20,7.54,23.40
0.07896,6.2730,6.00,4.2515,398.0,18.70,6.78,24.10
0.09512,6.2860,45.00,4.5026,398.0,18.70,8.94,21.40
0.10153,6.2790,74.50,4.0522,398.0,18.70,11.97,20.00
0.08707,6.1400,45.80,4.0905,398.0,18.70,10.27,20.80
0.05646,6.2320,53.70,5.0141,398.0,18.70,12.34,21.20
0.08387,5.8740,36.60,4.5026,398.0,18.70,9.10,20.30
0.04113,6.7270,33.50,5.4007,281.0,19.00,5.29,28.00
0.04462,6.6190,70.40,5.4007,281.0,19.00,7.22,23.90
0.03659,6.3020,32.20,5.4007,281.0,19.00,6.72,24.80
0.03551,6.1670,46.70,5.4007,281.0,19.00,7.51,22.90
0.05059,6.3890,48.00,4.7794,247.0,18.50,9.62,23.90
0.05735,6.6300,56.10,4.4377,247.0,18.50,6.53,26.60
0.05188,6.0150,45.10,4.4272,247.0,18.50,12.86,22.50
0.07151,6.1210,56.80,3.7476,247.0,18.50,8.44,22.20
0.05660,7.0070,86.30,3.4217,270.0,17.80,5.50,23.60
0.05302,7.0790,63.10,3.4145,270.0,17.80,5.70,28.70
0.04684,6.4170,66.10,3.0923,270.0,17.80,8.81,22.60
0.03932,6.4050,73.90,3.0921,270.0,17.80,8.20,22.00
0.04203,6.4420,53.60,3.6659,270.0,18.20,8.16,22.90
0.02875,6.2110,28.90,3.6659,270.0,18.20,6.21,25.00
0.04294,6.2490,77.30,3.6150,270.0,18.20,10.59,20.60
0.12204,6.6250,57.80,3.4952,276.0,18.00,6.65,28.40
0.11504,6.1630,69.60,3.4952,276.0,18.00,11.34,21.40
0.12083,8.0690,76.00,3.4952,276.0,18.00,4.21,38.70
0.08187,7.8200,36.90,3.4952,276.0,18.00,3.57,43.80
0.06860,7.4160,62.50,3.4952,276.0,18.00,6.19,33.20
0.14866,6.7270,79.90,2.7778,384.0,20.90,9.42,27.50
0.11432,6.7810,71.30,2.8561,384.0,20.90,7.67,26.50
0.22876,6.4050,85.40,2.7147,384.0,20.90,10.63,18.60
0.21161,6.1370,87.40,2.7147,384.0,20.90,13.44,19.30
0.13960,6.1670,90.00,2.4210,384.0,20.90,12.33,20.10
0.13262,5.8510,96.70,2.1069,384.0,20.90,16.47,19.50
0.17120,5.8360,91.90,2.2110,384.0,20.90,18.66,19.50
0.13117,6.1270,85.20,2.1224,384.0,20.90,14.09,20.40
0.12802,6.4740,97.10,2.4329,384.0,20.90,12.27,19.80
0.26363,6.2290,91.20,2.5451,384.0,20.90,15.55,19.40
0.10793,6.1950,54.40,2.7778,384.0,20.90,13.00,21.70
0.10084,6.7150,81.60,2.6775,432.0,17.80,10.16,22.80
0.12329,5.9130,92.90,2.3534,432.0,17.80,16.21,18.80
0.22212,6.0920,95.40,2.5480,432.0,17.80,17.09,18.70
0.14231,6.2540,84.20,2.2565,432.0,17.80,10.45,18.50
0.17134,5.9280,88.20,2.4631,432.0,17.80,15.76,18.30
0.13158,6.1760,72.50,2.7301,432.0,17.80,12.04,21.20
0.15098,6.0210,82.60,2.7474,432.0,17.80,10.30,19.20
0.13058,5.8720,73.10,2.4775,432.0,17.80,15.37,20.40
0.14476,5.7310,65.20,2.7592,432.0,17.80,13.61,19.30
0.06899,5.8700,69.70,2.2577,188.0,19.10,14.37,22.00
0.07165,6.0040,84.10,2.1974,188.0,19.10,14.27,20.30
0.09299,5.9610,92.90,2.0869,188.0,19.10,17.93,20.50
0.15038,5.8560,97.00,1.9444,188.0,19.10,25.41,17.30
0.09849,5.8790,95.80,2.0063,188.0,19.10,17.58,18.80
0.16902,5.9860,88.40,1.9929,188.0,19.10,14.81,21.40
0.38735,5.6130,95.60,1.7572,188.0,19.10,27.26,15.70
0.25915,5.6930,96.00,1.7883,437.0,21.20,17.19,16.20
0.32543,6.4310,98.80,1.8125,437.0,21.20,15.39,18.00
0.88125,5.6370,94.70,1.9799,437.0,21.20,18.34,14.30
0.34006,6.4580,98.90,2.1185,437.0,21.20,12.60,19.20
1.19294,6.3260,97.70,2.2710,437.0,21.20,12.26,19.60
0.59005,6.3720,97.90,2.3274,437.0,21.20,11.12,23.00
0.32982,5.8220,95.40,2.4699,437.0,21.20,15.03,18.40
0.97617,5.7570,98.40,2.3460,437.0,21.20,17.31,15.60
0.55778,6.3350,98.20,2.1107,437.0,21.20,16.96,18.10
0.32264,5.9420,93.50,1.9669,437.0,21.20,16.90,17.40
0.35233,6.4540,98.40,1.8498,437.0,21.20,14.59,17.10
0.24980,5.8570,98.20,1.6686,437.0,21.20,21.32,13.30
0.54452,6.1510,97.90,1.6687,437.0,21.20,18.46,17.80
0.29090,6.1740,93.60,1.6119,437.0,21.20,24.16,14.00
1.62864,5.0190,100.00,1.4394,437.0,21.20,34.41,14.40
3.32105,5.4030,100.00,1.3216,403.0,14.70,26.82,13.40
4.09740,5.4680,100.00,1.4118,403.0,14.70,26.42,15.60
2.77974,4.9030,97.80,1.3459,403.0,14.70,29.29,11.80
2.37934,6.1300,100.00,1.4191,403.0,14.70,27.80,13.80
2.15505,5.6280,100.00,1.5166,403.0,14.70,16.65,15.60
2.36862,4.9260,95.70,1.4608,403.0,14.70,29.53,14.60
2.33099,5.1860,93.80,1.5296,403.0,14.70,28.32,17.80
2.73397,5.5970,94.90,1.5257,403.0,14.70,21.45,15.40
1.65660,6.1220,97.30,1.6180,403.0,14.70,14.10,21.50
1.49632,5.4040,100.00,1.5916,403.0,14.70,13.28,19.60
1.12658,5.0120,88.00,1.6102,403.0,14.70,12.12,15.30
2.14918,5.7090,98.50,1.6232,403.0,14.70,15.79,19.40
1.41385,6.1290,96.00,1.7494,403.0,14.70,15.12,17.00
3.53501,6.1520,82.60,1.7455,403.0,14.70,15.02,15.60
2.44668,5.2720,94.00,1.7364,403.0,14.70,16.14,13.10
1.22358,6.9430,97.40,1.8773,403.0,14.70,4.59,41.30
1.34284,6.0660,100.00,1.7573,403.0,14.70,6.43,24.30
1.42502,6.5100,100.00,1.7659,403.0,14.70,7.39,23.30
1.27346,6.2500,92.60,1.7984,403.0,14.70,5.50,27.00
1.46336,7.4890,90.80,1.9709,403.0,14.70,1.73,50.00
1.83377,7.8020,98.20,2.0407,403.0,14.70,1.92,50.00
1.51902,8.3750,93.90,2.1620,403.0,14.70,3.32,50.00
2.24236,5.8540,91.80,2.4220,403.0,14.70,11.64,22.70
2.92400,6.1010,93.00,2.2834,403.0,14.70,9.81,25.00
2.01019,7.9290,96.20,2.0459,403.0,14.70,3.70,50.00
1.80028,5.8770,79.20,2.4259,403.0,14.70,12.14,23.80
2.30040,6.3190,96.10,2.1000,403.0,14.70,11.10,23.80
2.44953,6.4020,95.20,2.2625,403.0,14.70,11.32,22.30
1.20742,5.8750,94.60,2.4259,403.0,14.70,14.43,17.40
2.31390,5.8800,97.30,2.3887,403.0,14.70,12.03,19.10
0.13914,5.5720,88.50,2.5961,296.0,16.60,14.69,23.10
0.09178,6.4160,84.10,2.6463,296.0,16.60,9.04,23.60
0.08447,5.8590,68.70,2.7019,296.0,16.60,9.64,22.60
0.06664,6.5460,33.10,3.1323,296.0,16.60,5.33,29.40
0.07022,6.0200,47.20,3.5549,296.0,16.60,10.11,23.20
0.05425,6.3150,73.40,3.3175,296.0,16.60,6.29,24.60
0.06642,6.8600,74.40,2.9153,296.0,16.60,6.92,29.90
0.05780,6.9800,58.40,2.8290,193.0,17.80,5.04,37.20
0.06588,7.7650,83.30,2.7410,193.0,17.80,7.56,39.80
0.06888,6.1440,62.20,2.5979,193.0,17.80,9.45,36.20
0.09103,7.1550,92.20,2.7006,193.0,17.80,4.82,37.90
0.10008,6.5630,95.60,2.8470,193.0,17.80,5.68,32.50
0.08308,5.6040,89.80,2.9879,193.0,17.80,13.98,26.40
0.06047,6.1530,68.80,3.2797,193.0,17.80,13.15,29.60
0.05602,7.8310,53.60,3.1992,193.0,17.80,4.45,50.00
0.07875,6.7820,41.10,3.7886,398.0,15.20,6.68,32.00
0.12579,6.5560,29.10,4.5667,398.0,15.20,4.56,29.80
0.08370,7.1850,38.90,4.5667,398.0,15.20,5.39,34.90
0.09068,6.9510,21.50,6.4798,398.0,15.20,5.10,37.00
0.06911,6.7390,30.80,6.4798,398.0,15.20,4.69,30.50
0.08664,7.1780,26.30,6.4798,398.0,15.20,2.87,36.40
0.02187,6.8000,9.90,6.2196,265.0,15.60,5.03,31.10
0.01439,6.6040,18.80,6.2196,265.0,15.60,4.38,29.10
0.01381,7.8750,32.00,5.6484,255.0,14.40,2.97,50.00
0.04011,7.2870,34.10,7.3090,329.0,12.60,4.08,33.30
0.04666,7.1070,36.60,7.3090,329.0,12.60,8.61,30.30
0.03768,7.2740,38.30,7.3090,329.0,12.60,6.62,34.60
0.03150,6.9750,15.30,7.6534,402.0,17.00,4.56,34.90
0.01778,7.1350,13.90,7.6534,402.0,17.00,4.45,32.90
0.03445,6.1620,38.40,6.2700,348.0,14.70,7.43,24.10
0.02177,7.6100,15.70,6.2700,348.0,14.70,3.11,42.30
0.03510,7.8530,33.20,5.1180,224.0,14.70,3.81,48.50
0.02009,8.0340,31.90,5.1180,224.0,14.70,2.88,50.00
0.13642,5.8910,22.30,3.9454,277.0,18.60,10.87,22.60
0.22969,6.3260,52.50,4.3549,277.0,18.60,10.97,24.40
0.25199,5.7830,72.70,4.3549,277.0,18.60,18.06,22.50
0.13587,6.0640,59.10,4.2392,277.0,18.60,14.66,24.40
0.43571,5.3440,100.00,3.8750,277.0,18.60,23.09,20.00
0.17446,5.9600,92.10,3.8771,277.0,18.60,17.27,21.70
0.37578,5.4040,88.60,3.6650,277.0,18.60,23.98,19.30
0.21719,5.8070,53.80,3.6526,277.0,18.60,16.03,22.40
0.14052,6.3750,32.30,3.9454,277.0,18.60,9.38,28.10
0.28955,5.4120,9.80,3.5875,277.0,18.60,29.55,23.70
0.19802,6.1820,42.40,3.9454,277.0,18.60,9.47,25.00
0.04560,5.8880,56.00,3.1121,276.0,16.40,13.51,23.30
0.07013,6.6420,85.10,3.4211,276.0,16.40,9.69,28.70
0.11069,5.9510,93.80,2.8893,276.0,16.40,17.92,21.50
0.11425,6.3730,92.40,3.3633,276.0,16.40,10.50,23.00
0.35809,6.9510,88.50,2.8617,307.0,17.40,9.71,26.70
0.40771,6.1640,91.30,3.0480,307.0,17.40,21.46,21.70
0.62356,6.8790,77.70,3.2721,307.0,17.40,9.93,27.50
0.61470,6.6180,80.80,3.2721,307.0,17.40,7.60,30.10
0.31533,8.2660,78.30,2.8944,307.0,17.40,4.14,44.80
0.52693,8.7250,83.00,2.8944,307.0,17.40,4.63,50.00
0.38214,8.0400,86.50,3.2157,307.0,17.40,3.13,37.60
0.41238,7.1630,79.90,3.2157,307.0,17.40,6.36,31.60
0.29819,7.6860,17.00,3.3751,307.0,17.40,3.92,46.70
0.44178,6.5520,21.40,3.3751,307.0,17.40,3.76,31.50
0.53700,5.9810,68.10,3.6715,307.0,17.40,11.65,24.30
0.46296,7.4120,76.90,3.6715,307.0,17.40,5.25,31.70
0.57529,8.3370,73.30,3.8384,307.0,17.40,2.47,41.70
0.33147,8.2470,70.40,3.6519,307.0,17.40,3.95,48.30
0.44791,6.7260,66.50,3.6519,307.0,17.40,8.05,29.00
0.33045,6.0860,61.50,3.6519,307.0,17.40,10.88,24.00
0.52058,6.6310,76.50,4.1480,307.0,17.40,9.54,25.10
0.51183,7.3580,71.60,4.1480,307.0,17.40,4.73,31.50
0.08244,6.4810,18.50,6.1899,300.0,16.60,6.36,23.70
0.09252,6.6060,42.20,6.1899,300.0,16.60,7.37,23.30
0.11329,6.8970,54.30,6.3361,300.0,16.60,11.38,22.00
0.10612,6.0950,65.10,6.3361,300.0,16.60,12.40,20.10
0.10290,6.3580,52.90,7.0355,300.0,16.60,11.22,22.20
0.12757,6.3930,7.80,7.0355,300.0,16.60,5.19,23.70
0.20608,5.5930,76.50,7.9549,330.0,19.10,12.50,17.60
0.19133,5.6050,70.20,7.9549,330.0,19.10,18.46,18.50
0.33983,6.1080,34.90,8.0555,330.0,19.10,9.16,24.30
0.19657,6.2260,79.20,8.0555,330.0,19.10,10.15,20.50
0.16439,6.4330,49.10,7.8265,330.0,19.10,9.52,24.50
0.19073,6.7180,17.50,7.8265,330.0,19.10,6.56,26.20
0.14030,6.4870,13.00,7.3967,330.0,19.10,5.90,24.40
0.21409,6.4380,8.90,7.3967,330.0,19.10,3.59,24.80
0.08221,6.9570,6.80,8.9067,330.0,19.10,3.53,29.60
0.36894,8.2590,8.40,8.9067,330.0,19.10,3.54,42.80
0.04819,6.1080,32.00,9.2203,315.0,16.40,6.57,21.90
0.03548,5.8760,19.10,9.2203,315.0,16.40,9.25,20.90
0.01538,7.4540,34.20,6.3361,244.0,15.90,3.11,44.00
0.61154,8.7040,86.90,1.8010,264.0,13.00,5.12,50.00
0.66351,7.3330,100.00,1.8946,264.0,13.00,7.79,36.00
0.65665,6.8420,100.00,2.0107,264.0,13.00,6.90,30.10
0.54011,7.2030,81.80,2.1121,264.0,13.00,9.59,33.80
0.53412,7.5200,89.40,2.1398,264.0,13.00,7.26,43.10
0.52014,8.3980,91.50,2.2885,264.0,13.00,5.91,48.80
0.82526,7.3270,94.50,2.0788,264.0,13.00,11.25,31.00
0.55007,7.2060,91.60,1.9301,264.0,13.00,8.10,36.50
0.76162,5.5600,62.80,1.9865,264.0,13.00,10.45,22.80
0.78570,7.0140,84.60,2.1329,264.0,13.00,14.79,30.70
0.57834,8.2970,67.00,2.4216,264.0,13.00,7.44,50.00
0.54050,7.4700,52.60,2.8720,264.0,13.00,3.16,43.50
0.09065,5.9200,61.50,3.9175,223.0,18.60,13.65,20.70
0.29916,5.8560,42.10,4.4290,223.0,18.60,13.00,21.10
0.16211,6.2400,16.30,4.4290,223.0,18.60,6.59,25.20
0.11460,6.5380,58.70,3.9175,223.0,18.60,7.73,24.40
0.22188,7.6910,51.80,4.3665,223.0,18.60,6.58,35.20
0.05644,6.7580,32.90,4.0776,254.0,17.60,3.53,32.40
0.09604,6.8540,42.80,4.2673,254.0,17.60,2.98,32.00
0.10469,7.2670,49.00,4.7872,254.0,17.60,6.05,33.20
0.06127,6.8260,27.60,4.8628,254.0,17.60,4.16,33.10
0.07978,6.4820,32.10,4.1403,254.0,17.60,7.19,29.10
0.21038,6.8120,32.20,4.1007,216.0,14.90,4.85,35.10
0.03578,7.8200,64.50,4.6947,216.0,14.90,3.76,45.40
0.03705,6.9680,37.20,5.2447,216.0,14.90,4.59,35.40
0.06129,7.6450,49.70,5.2119,216.0,14.90,3.01,46.00
0.01501,7.9230,24.80,5.8850,198.0,13.60,3.16,50.00
0.00906,7.0880,20.80,7.3073,285.0,15.30,7.85,32.20
0.01096,6.4530,31.90,7.3073,300.0,15.30,8.23,22.00
0.01965,6.2300,31.50,9.0892,241.0,18.20,12.93,20.10
0.03871,6.2090,31.30,7.3172,293.0,16.60,7.14,23.20
0.04590,6.3150,45.60,7.3172,293.0,16.60,7.60,22.30
0.04297,6.5650,22.90,7.3172,293.0,16.60,9.51,24.80
0.03502,6.8610,27.90,5.1167,245.0,19.20,3.33,28.50
0.07886,7.1480,27.70,5.1167,245.0,19.20,3.56,37.30
0.03615,6.6300,23.40,5.1167,245.0,19.20,4.70,27.90
0.08265,6.1270,18.40,5.5027,289.0,16.00,8.58,23.90
0.08199,6.0090,42.30,5.5027,289.0,16.00,10.40,21.70
0.12932,6.6780,31.10,5.9604,289.0,16.00,6.27,28.60
0.05372,6.5490,51.00,5.9604,289.0,16.00,7.39,27.10
0.14103,5.7900,58.00,6.3200,289.0,16.00,15.84,20.30
0.06466,6.3450,20.10,7.8278,358.0,14.80,4.97,22.50
0.05561,7.0410,10.00,7.8278,358.0,14.80,4.74,29.00
0.04417,6.8710,47.40,7.8278,358.0,14.80,6.07,24.80
0.03537,6.5900,40.40,5.4917,329.0,16.10,9.50,22.00
0.09266,6.4950,18.40,5.4917,329.0,16.10,8.67,26.40
0.10000,6.9820,17.70,5.4917,329.0,16.10,4.86,33.10
0.05515,7.2360,41.10,4.0220,222.0,18.40,6.93,36.10
0.05479,6.6160,58.10,3.3700,222.0,18.40,8.93,28.40
0.07503,7.4200,71.90,3.0992,222.0,18.40,6.47,33.40
0.04932,6.8490,70.30,3.1827,222.0,18.40,7.53,28.20
0.49298,6.6350,82.50,3.3175,304.0,18.40,4.54,22.80
0.34940,5.9720,76.70,3.1025,304.0,18.40,9.97,20.30
2.63548,4.9730,37.80,2.5194,304.0,18.40,12.64,16.10
0.79041,6.1220,52.80,2.6403,304.0,18.40,5.98,22.10
0.26169,6.0230,90.40,2.8340,304.0,18.40,11.72,19.40
0.26938,6.2660,82.80,3.2628,304.0,18.40,7.90,21.60
0.36920,6.5670,87.30,3.6023,304.0,18.40,9.28,23.80
0.25356,5.7050,77.70,3.9450,304.0,18.40,11.50,16.20
0.31827,5.9140,83.20,3.9986,304.0,18.40,18.33,17.80
0.24522,5.7820,71.70,4.0317,304.0,18.40,15.94,19.80
0.40202,6.3820,67.20,3.5325,304.0,18.40,10.36,23.10
0.47547,6.1130,58.80,4.0019,304.0,18.40,12.73,21.00
0.16760,6.4260,52.30,4.5404,287.0,19.60,7.20,23.80
0.18159,6.3760,54.30,4.5404,287.0,19.60,6.87,23.10
0.35114,6.0410,49.90,4.7211,287.0,19.60,7.70,20.40
0.28392,5.7080,74.30,4.7211,287.0,19.60,11.74,18.50
0.34109,6.4150,40.10,4.7211,287.0,19.60,6.12,25.00
0.19186,6.4310,14.70,5.4159,287.0,19.60,5.08,24.60
0.30347,6.3120,28.90,5.4159,287.0,19.60,6.15,23.00
0.24103,6.0830,43.70,5.4159,287.0,19.60,12.79,22.20
0.06617,5.8680,25.80,5.2146,430.0,16.90,9.97,19.30
0.06724,6.3330,17.20,5.2146,430.0,16.90,7.34,22.60
0.04544,6.1440,32.20,5.8736,430.0,16.90,9.09,19.80
0.05023,5.7060,28.40,6.6407,304.0,16.90,12.43,17.10
0.03466,6.0310,23.30,6.6407,304.0,16.90,7.83,19.40
0.05083,6.3160,38.10,6.4584,224.0,20.20,5.68,22.20
0.03738,6.3100,38.50,6.4584,224.0,20.20,6.75,20.70
0.03961,6.0370,34.50,5.9853,224.0,20.20,8.01,21.10
0.03427,5.8690,46.30,5.2311,224.0,20.20,9.80,19.50
0.03041,5.8950,59.60,5.6150,224.0,20.20,10.56,18.50
0.03306,6.0590,37.30,4.8122,224.0,20.20,8.51,20.60
0.05497,5.9850,45.40,4.8122,224.0,20.20,9.74,19.00
0.06151,5.9680,58.50,4.8122,224.0,20.20,9.29,18.70
0.01301,7.2410,49.30,7.0379,284.0,15.50,5.49,32.70
0.02498,6.5400,59.70,6.2669,422.0,15.90,8.65,16.50
0.02543,6.6960,56.40,5.7321,370.0,17.60,7.18,23.90
0.03049,6.8740,28.10,6.4654,370.0,17.60,4.61,31.20
0.03113,6.0140,48.50,8.0136,352.0,18.80,10.53,17.50
0.06162,5.8980,52.30,8.0136,352.0,18.80,12.67,17.20
0.01870,6.5160,27.70,8.5353,351.0,17.90,6.36,23.10
0.01501,6.6350,29.70,8.3440,280.0,17.00,5.99,24.50
0.02899,6.9390,34.50,8.7921,335.0,19.70,5.89,26.60
0.06211,6.4900,44.40,8.7921,335.0,19.70,5.98,22.90
0.07950,6.5790,35.90,10.7103,411.0,18.30,5.49,24.10
0.07244,5.8840,18.50,10.7103,411.0,18.30,7.79,18.60
0.01709,6.7280,36.10,12.1265,187.0,17.00,4.50,30.10
0.04301,5.6630,21.90,10.5857,334.0,22.00,8.05,18.20
0.10659,5.9360,19.50,10.5857,334.0,22.00,5.57,20.60
8.98296,6.2120,97.40,2.1222,666.0,20.20,17.60,17.80
3.84970,6.3950,91.00,2.5052,666.0,20.20,13.27,21.70
5.20177,6.1270,83.40,2.7227,666.0,20.20,11.48,22.70
4.26131,6.1120,81.30,2.5091,666.0,20.20,12.67,22.60
4.54192,6.3980,88.00,2.5182,666.0,20.20,7.79,25.00
3.83684,6.2510,91.10,2.2955,666.0,20.20,14.19,19.90
3.67822,5.3620,96.20,2.1036,666.0,20.20,10.19,20.80
4.22239,5.8030,89.00,1.9047,666.0,20.20,14.64,16.80
3.47428,8.7800,82.90,1.9047,666.0,20.20,5.29,21.90
4.55587,3.5610,87.90,1.6132,666.0,20.20,7.12,27.50
3.69695,4.9630,91.40,1.7523,666.0,20.20,14.00,21.90
13.52220,3.8630,100.00,1.5106,666.0,20.20,13.33,23.10
4.89822,4.9700,100.00,1.3325,666.0,20.20,3.26,50.00
5.66998,6.6830,96.80,1.3567,666.0,20.20,3.73,50.00
6.53876,7.0160,97.50,1.2024,666.0,20.20,2.96,50.00
9.23230,6.2160,100.00,1.1691,666.0,20.20,9.53,50.00
8.26725,5.8750,89.60,1.1296,666.0,20.20,8.88,50.00
11.10810,4.9060,100.00,1.1742,666.0,20.20,34.77,13.80
18.49820,4.1380,100.00,1.1370,666.0,20.20,37.97,13.80
19.60910,7.3130,97.90,1.3163,666.0,20.20,13.44,15.00
15.28800,6.6490,93.30,1.3449,666.0,20.20,23.24,13.90
9.82349,6.7940,98.80,1.3580,666.0,20.20,21.24,13.30
23.64820,6.3800,96.20,1.3861,666.0,20.20,23.69,13.10
17.86670,6.2230,100.00,1.3861,666.0,20.20,21.78,10.20
88.97620,6.9680,91.90,1.4165,666.0,20.20,17.21,10.40
15.87440,6.5450,99.10,1.5192,666.0,20.20,21.08,10.90
9.18702,5.5360,100.00,1.5804,666.0,20.20,23.60,11.30
7.99248,5.5200,100.00,1.5331,666.0,20.20,24.56,12.30
20.08490,4.3680,91.20,1.4395,666.0,20.20,30.63,8.80
16.81180,5.2770,98.10,1.4261,666.0,20.20,30.81,7.20
24.39380,4.6520,100.00,1.4672,666.0,20.20,28.28,10.50
22.59710,5.0000,89.50,1.5184,666.0,20.20,31.99,7.40
14.33370,4.8800,100.00,1.5895,666.0,20.20,30.62,10.20
8.15174,5.3900,98.90,1.7281,666.0,20.20,20.85,11.50
6.96215,5.7130,97.00,1.9265,666.0,20.20,17.11,15.10
5.29305,6.0510,82.50,2.1678,666.0,20.20,18.76,23.20
11.57790,5.0360,97.00,1.7700,666.0,20.20,25.68,9.70
8.64476,6.1930,92.60,1.7912,666.0,20.20,15.17,13.80
13.35980,5.8870,94.70,1.7821,666.0,20.20,16.35,12.70
8.71675,6.4710,98.80,1.7257,666.0,20.20,17.12,13.10
5.87205,6.4050,96.00,1.6768,666.0,20.20,19.37,12.50
7.67202,5.7470,98.90,1.6334,666.0,20.20,19.92,8.50
